"Response ID","Time Started","Date Submitted","Status","Contact ID","Language","Intro time","Introduction time","Code Instrumentation for IntermittencyWhen we want to transform this simple swap operation to be able to continue where it left off, it needs to be significantly modified.This example is to illustrate the steps required and is therefore not a practical real world example, as transforming every line into a task is often not required. There is no supported way in Python to create a checkpoint and continue on, therefore we split the program into tasks that are assumed to be atomic (they have to be completed before the power fails). After every task (in this case every line in the original swap program is transformed into a separate task) the state of the program and it's variables is stored. And each time a call to `restore()` is made the program continues with the next task. When `checkpoint()` is called the state of the program is stored in non-volatile memory (memory that keeps data even if power is not applied). Bellow there are 3 versions of the same swap program transformed into a task based one. Two of them contain errors in the transformation and one is correct. Please take some time to find which one of the 3 options is the correct one.Option 1Option 2Option 3Please select the option you think is correct.","Instrumentation question time","Intermezzo time","Do you think that a system taking care of program correctness, despite power failures, would help?","Do you think that a system taking care of program correctness, despite power failures, would save your time as a programmer?","Do you think that rewriting a (Python) code such that it will be correct, despite power failures, is a time-consuming task for a programmer?","Do you have any remarks about the problem of intermittent computing?","Final questions time","Considering any programming language: what is your programming experience?","What is your Python language programming experience?","What is your C/C++ programming experience?","Have you ever used any of the open source microcontroller boards such as Adafruit METRO (left) or Arduino Uno (right)?","Have you ever used CircuitPython before?","What is your age?","Self-assessment time"
"77","Sep 9, 2019 5:38:54 am","Sep 9, 2019 5:50:54 am","Complete","","English","9","110","Option 2","417","30","Very unlikely","Very likely","Likely","no","37","Very little experience","No experience","Some experience","Never heard of it","Never heard of it","18","33"
"78","Sep 9, 2019 5:38:54 am","Sep 9, 2019 5:43:33 am","Complete","","English","10","104","Option 2","70","7","Very likely","Neutral","Likely","","56","No experience","No experience","Some experience","I have used it once","Never heard of it","18","31"
"79","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:47:00 am","Complete","","English","8","23","Option 2","264","66","Neutral","Unlikely","Likely","","81","Very little experience","Some experience","No experience","Heard of it","Never heard of it","18","42"
"80","Sep 9, 2019 5:38:57 am","Sep 9, 2019 5:48:53 am","Complete","","English","6","109","Option 3","298","47","Neutral","Neutral","Very likely","","90","Some experience","No experience","No experience","Heard of it","Never heard of it","19","45"
"81","Sep 9, 2019 5:38:49 am","Sep 9, 2019 5:47:33 am","Complete","","English","14","28","Option 2","321","12","Very likely","Likely","Very likely","","115","Some experience","Some experience","Some experience","Heard of it","Never heard of it","18","34"
"82","Sep 9, 2019 5:38:58 am","Sep 9, 2019 5:45:04 am","Complete","","English","7","83","Option 2","153","38","Likely","Unlikely","Likely","No","51","Some experience","No experience","Very little experience","Never heard of it","Never heard of it","19","33"
"83","Sep 9, 2019 5:38:41 am","Sep 9, 2019 5:47:28 am","Complete","","English","24","90","Option 2","275","30","Neutral","Unlikely","Unlikely","No","58","Some experience","Some experience","Some experience","Heard of it","Never heard of it","17","49"
"84","Sep 9, 2019 5:38:51 am","Sep 9, 2019 5:49:54 am","Complete","","English","14","118","Option 2","364","31","Very unlikely","Very unlikely","Very unlikely","No","102","Some experience","Very little experience","No experience","Never heard of it","Never heard of it","19","33"
"85","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:45:53 am","Complete","","English","6","18","Option 2","227","37","Likely","Likely","Neutral","Not really","83","Some experience","Some experience","Some experience","I have used it more than once","Never heard of it","18","42"
"86","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:41:12 am","Complete","","English","6","20","Option 2","23","18","Likely","Likely","Very likely","","35","No experience","No experience","No experience","Never heard of it","Never heard of it","19","31"
"87","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:46:36 am","Complete","","English","6","116","Option 2","225","24","Likely","Likely","Very likely","","45","A lot of experience","Very little experience","No experience","I have used it once","Heard of it","18","41"
"88","Sep 9, 2019 5:38:43 am","Sep 9, 2019 5:46:35 am","Complete","","English","22","98","Option 2","238","24","Very likely","Likely","Neutral","Nah","60","A lot of experience","A lot of experience","A lot of experience","Heard of it","Never heard of it","18","29"
"89","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:48:13 am","Complete","","English","11","102","Option 2","289","52","Neutral","Likely","Very likely","/","58","Some experience","Some experience","No experience","Never heard of it","Never heard of it","17","46"
"90","Sep 9, 2019 5:39:01 am","Sep 9, 2019 5:45:42 am","Complete","","English","5","35","Option 2","237","41","Very likely","Likely","Neutral","","37","Very little experience","Very little experience","No experience","Heard of it","Never heard of it","19","45"
"91","Sep 9, 2019 5:38:54 am","Sep 9, 2019 5:44:37 am","Complete","","English","12","10","Option 2","163","23","Likely","Very likely","Likely","No","94","Some experience","No experience","A lot of experience","Heard of it","Never heard of it","19","41"
"92","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:43:36 am","Complete","","English","11","11","Option 2","99","77","Likely","Likely","Likely","","52","A lot of experience","Very little experience","A lot of experience","Heard of it","Never heard of it","19","31"
"93","Sep 9, 2019 5:38:57 am","Sep 9, 2019 5:47:10 am","Complete","","English","9","11","Option 2","194","37","Neutral","Unlikely","Very likely","","143","A lot of experience","Very little experience","Very little experience","I have used it more than once","Never heard of it","19","99"
"94","Sep 9, 2019 5:38:58 am","Sep 9, 2019 5:45:01 am","Complete","","English","8","41","Option 2","214","34","Likely","Neutral","Likely","","29","A lot of experience","Some experience","No experience","I have used it once","Never heard of it","20","37"
"95","Sep 9, 2019 5:39:00 am","Sep 9, 2019 5:43:50 am","Complete","","English","5","7","Option 2","218","17","Very likely","Very likely","Very likely","","23","Very little experience","Very little experience","No experience","Never heard of it","Never heard of it","18","20"
"96","Sep 9, 2019 5:38:57 am","Sep 9, 2019 5:43:46 am","Complete","","English","10","16","Option 3","189","10","Likely","Very unlikely","Likely","","35","Very little experience","No experience","No experience","I have used it once","Never heard of it","18","29"
"97","Sep 9, 2019 5:38:48 am","Sep 9, 2019 5:47:51 am","Complete","","English","19","85","Option 2","293","35","Likely","Likely","Neutral","","71","A lot of experience","Some experience","Some experience","I have used it more than once","Never heard of it","18","40"
"98","Sep 9, 2019 5:38:58 am","Sep 9, 2019 5:46:06 am","Complete","","English","9","86","Option 3","176","26","Likely","Neutral","Neutral","It might just be more time consuming.","91","Some experience","Very little experience","A lot of experience","I have used it more than once","Never heard of it","18","39"
"99","Sep 9, 2019 5:38:45 am","Sep 9, 2019 5:47:03 am","Complete","","English","22","67","Option 2","165","69","Likely","Unlikely","Neutral","These types of implementations might have safety issues when talking about human safety in day-to-day activities.","106","Some experience","A lot of experience","A lot of experience","I have used it more than once","Heard of it","21","68"
"100","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:45:21 am","Complete","","English","14","85","Option 2","173","14","Neutral","Likely","Neutral","","52","Very little experience","No experience","No experience","I have used it once","Never heard of it","18","50"
"101","Sep 9, 2019 5:38:44 am","Sep 9, 2019 5:46:44 am","Complete","","English","24","97","Option 2","195","31","Very unlikely","Very unlikely","Very unlikely","Sounds like a cool concept","82","A lot of experience","A lot of experience","No experience","Heard of it","Heard of it","18","50"
"102","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:46:46 am","Complete","","English","14","21","Option 2","256","15","Likely","Very likely","Neutral","Power outages may affect the complete process","121","Very little experience","No experience","No experience","Heard of it","Never heard of it","18","45"
"103","Sep 9, 2019 5:38:49 am","Sep 9, 2019 5:47:50 am","Complete","","English","18","69","Option 2","347","46","Likely","Neutral","Very likely","","35","Some experience","Very little experience","Some experience","I have used it more than once","Never heard of it","18","26"
"104","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:44:53 am","Complete","","English","9","39","Option 2","185","36","Very likely","Likely","Likely","No","44","Very little experience","No experience","No experience","I have used it more than once","Never heard of it","18","40"
"105","Sep 9, 2019 5:39:01 am","Sep 9, 2019 5:42:15 am","Complete","","English","8","7","Option 3","65","36","Likely","Unlikely","Likely","","48","Very little experience","No experience","Very little experience","Never heard of it","Never heard of it","18","30"
"106","Sep 9, 2019 5:39:02 am","Sep 9, 2019 5:42:03 am","Complete","","English","6","4","Option 2","74","31","Likely","Unlikely","Likely","","41","No experience","No experience","No experience","Never heard of it","Never heard of it","18","25"
"107","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:43:59 am","Complete","","English","9","69","Option 2","95","33","Very likely","Very likely","Very likely","no","51","Some experience","No experience","No experience","Heard of it","Never heard of it","18","43"
"108","Sep 9, 2019 5:39:01 am","Sep 9, 2019 5:47:53 am","Complete","","English","9","135","Option 1","247","35","Unlikely","Likely","Likely","","74","Very little experience","No experience","Very little experience","Never heard of it","Never heard of it","19","32"
"110","Sep 9, 2019 5:38:48 am","Sep 9, 2019 5:47:27 am","Complete","","English","22","37","Option 2","313","27","Likely","Neutral","Very likely","","87","A lot of experience","Very little experience","Some experience","I have used it more than once","Never heard of it","17","33"
"111","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:45:29 am","Complete","","English","4","16","Option 2","161","23","Very likely","Unlikely","Neutral","If the power fails whilst the program is being stored inside of NVM, it might cause corruption and/or break the memory.","155","Very little experience","Some experience","No experience","I have used it once","Heard of it","17","24"
"112","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:48:19 am","Complete","","English","12","87","Option 2","318","23","Very likely","Neutral","Likely","It seems like a bother on short term, but very beneficial on long term","83","Very little experience","No experience","Some experience","Never heard of it","Never heard of it","19","37"
"113","Sep 9, 2019 5:38:48 am","Sep 9, 2019 5:48:20 am","Complete","","English","23","61","Option 2","376","25","Likely","Very likely","Neutral","","36","Some experience","Very little experience","Very little experience","Heard of it","Never heard of it","19","51"
"115","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:47:56 am","Complete","","English","4","7","Option 2","466","5","Very likely","Very likely","Very likely","","21","Some experience","Some experience","Some experience","I have used it once","Never heard of it","19","27"
"116","Sep 9, 2019 5:38:44 am","Sep 9, 2019 5:48:29 am","Complete","","English","27","86","Option 2","335","24","Likely","Very likely","Very likely","Given sufficiently complex tasks it might not be feasible to perform them, as each atomic task might not reliably come to an end in a consistent fashion","81","Some experience","Some experience","No experience","Heard of it","Never heard of it","18","31"
"117","Sep 9, 2019 5:38:49 am","Sep 9, 2019 5:49:56 am","Complete","","English","22","81","Option 2","412","33","Likely","Neutral","Likely","Interesting, more useful in 3rd world countries","92","Some experience","Some experience","No experience","Never heard of it","Never heard of it","18","27"
"118","Sep 9, 2019 5:39:04 am","Sep 9, 2019 5:42:10 am","Complete","","English","8","28","Option 2","69","20","Very likely","Very likely","Very likely","","31","A lot of experience","Some experience","A lot of experience","I have used it more than once","Never heard of it","21","30"
"119","Sep 9, 2019 5:38:45 am","Sep 9, 2019 5:47:15 am","Complete","","English","27","28","Option 2","333","16","Likely","Neutral","Likely","","71","Some experience","Some experience","No experience","Heard of it","Never heard of it","18","35"
"120","Sep 9, 2019 5:39:00 am","Sep 9, 2019 5:49:41 am","Complete","","English","12","29","Option 2","322","14","Very likely","Very likely","Likely","Is there really no better/simpler way?","201","A lot of experience","Some experience","Some experience","I have used it more than once","Heard of it","18","62"
"121","Sep 9, 2019 5:38:45 am","Sep 9, 2019 5:48:24 am","Complete","","English","27","49","Option 2","257","33","Likely","Very likely","Neutral","For convenience, this kind of device would make life easier if programming relatively simple apps. However, programmers are pretty adamant of being able to control every inch of their code if they need efficiency, and handwritten code will almost always be faster.","176","A lot of experience","Very little experience","A lot of experience","I have used it more than once","Never heard of it","19","36"
"122","Sep 9, 2019 5:39:03 am","Sep 9, 2019 5:49:55 am","Complete","","English","9","79","Option 2","419","23","Very likely","Likely","Likely","No","80","Some experience","Very little experience","A lot of experience","Never heard of it","Never heard of it","18","41"
"123","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:48:12 am","Complete","","English","19","9","Option 2","268","27","Very likely","Neutral","Likely","This can sometimes represent a waste of time.","172","Some experience","Very little experience","Some experience","Heard of it","Never heard of it","19","63"
"124","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:43:58 am","Complete","","English","7","6","Option 2","79","22","Likely","Likely","Likely","","147","No experience","No experience","No experience","I have used it more than once","Never heard of it","18","30"
"125","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:49:27 am","Complete","","English","20","92","Option 2","346","56","Very likely","Neutral","Likely","🗿","80","Some experience","Very little experience","No experience","I have used it once","Never heard of it","18","40"
"126","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:49:40 am","Complete","","English","14","23","Option 2","240","63","Likely","Very likely","Very likely","Some big programs/databases won't benefit from this ""data saver"", so this can be applicable to little tasks. If the ""saver"" can save the exact state of the program, this might be useful for bigger data too","257","A lot of experience","Some experience","Some experience","I have used it once","Never heard of it","19","44"
"128","Sep 9, 2019 5:39:04 am","Sep 9, 2019 5:44:24 am","Complete","","English","9","31","Option 2","141","75","Likely","Likely","Likely","No","36","No experience","No experience","No experience","Never heard of it","Heard of it","18","26"
"129","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:50:01 am","Complete","","English","21","88","Option 2","418","39","Unlikely","Likely","Very likely","","69","Some experience","Some experience","No experience","Never heard of it","I have used it once","19","33"
"130","Sep 9, 2019 5:39:05 am","Sep 9, 2019 5:42:53 am","Complete","","English","8","11","Option 2","96","14","Likely","Very likely","Likely","","51","Some experience","Very little experience","A lot of experience","Heard of it","Heard of it","19","48"
"131","Sep 9, 2019 5:38:52 am","Sep 9, 2019 5:45:30 am","Complete","","English","21","25","Option 2","190","18","Neutral","Likely","Unlikely","if it does this save thing every line, isn't it consuming more power so the battery dies quicker, it uses hella lot more cpu commands","114","Expert","Expert","A lot of experience","I have used it more than once","Heard of it","18","29"
"132","Sep 9, 2019 5:38:57 am","Sep 9, 2019 5:43:09 am","Complete","","English","17","60","Option 2","78","10","Very likely","Very likely","Very likely","No.","53","No experience","No experience","No experience","Never heard of it","Never heard of it","19","34"
"133","Sep 9, 2019 5:39:02 am","Sep 9, 2019 5:49:02 am","Complete","","English","12","11","Option 2","380","34","Unlikely","Neutral","Very likely","No","114","No experience","No experience","No experience","Heard of it","Never heard of it","17","49"
"134","Sep 9, 2019 5:38:51 am","Sep 9, 2019 5:49:51 am","Complete","","English","24","33","Option 3","342","28","Likely","Likely","Likely","","167","Very little experience","No experience","No experience","Heard of it","Never heard of it","20","66"
"135","Sep 9, 2019 5:39:05 am","Sep 9, 2019 5:48:32 am","Complete","","English","10","5","Option 2","322","41","Likely","Likely","Very likely","","143","Some experience","Very little experience","No experience","Never heard of it","Never heard of it","18","46"
"137","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:48:50 am","Complete","","English","19","48","Option 2","16","6","Very likely","Neutral","Likely","","19","Some experience","Some experience","No experience","Heard of it","Never heard of it","19","45"
"139","Sep 9, 2019 5:39:02 am","Sep 9, 2019 5:48:54 am","Complete","","English","13","93","Option 2","317","19","Very likely","Very likely","Very likely","","110","A lot of experience","Some experience","A lot of experience","Heard of it","Never heard of it","19","40"
"140","Sep 9, 2019 5:38:52 am","Sep 9, 2019 5:47:19 am","Complete","","English","23","111","Option 2","180","28","Likely","Very likely","Very likely","Nope","106","Some experience","No experience","A lot of experience","Never heard of it","Never heard of it","19","59"
"142","Sep 9, 2019 5:39:11 am","Sep 9, 2019 5:45:26 am","Complete","","English","5","44","Option 2","234","18","Very likely","Very likely","Very likely","","36","Some experience","Very little experience","Very little experience","I have used it more than once","Never heard of it","18","38"
"143","Sep 9, 2019 5:39:11 am","Sep 9, 2019 5:49:09 am","Complete","","English","4","35","Option 2","476","9","Very likely","Very likely","Very likely","","19","A lot of experience","Some experience","A lot of experience","I have used it more than once","Never heard of it","18","55"
"144","Sep 9, 2019 5:38:57 am","Sep 9, 2019 5:43:50 am","Complete","","English","20","42","Option 2","116","20","Very likely","Very likely","Very likely","","54","A lot of experience","Some experience","A lot of experience","I have used it once","Never heard of it","18","41"
"145","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:47:05 am","Complete","","English","20","105","Option 2","149","24","Likely","Likely","Neutral","It won't always work when it is constantly on","141","Some experience","Very little experience","No experience","Never heard of it","Heard of it","18","50"
"146","Sep 9, 2019 5:38:48 am","Sep 9, 2019 5:46:00 am","Complete","","English","28","65","Option 3","155","29","Unlikely","Likely","Likely","Would it be more efficient than using batteries","119","Some experience","Very little experience","No experience","I have used it once","Never heard of it","18","35"
"147","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:47:17 am","Complete","","English","23","90","Option 2","232","24","Very likely","Very likely","Very likely","What about the system using the embedded system. Does it just become useless when there is no power? That's not handy for example in a washing machine.","83","Very little experience","No experience","No experience","Never heard of it","Never heard of it","18","49"
"148","Sep 9, 2019 5:39:08 am","Sep 9, 2019 5:51:03 am","Complete","","English","10","30","Option 2","352","9","Neutral","Neutral","Likely","We always need that non volatile memory so we have to maybe find another way to create more biofriendly memory but I really do not know whether it is possible or not but we maybe find another way to recycle the batteries. But still, we always have to use volatile memory for the integrity of the system.","281","Some experience","Very little experience","Very little experience","Heard of it","Never heard of it","19","33"
"149","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:42:59 am","Complete","","English","11","18","Option 2","98","25","Likely","Neutral","Likely","","58","Some experience","A lot of experience","No experience","Heard of it","Never heard of it","19","23"
"150","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:44:30 am","Complete","","English","24","58","Option 1","145","18","Likely","Likely","Very likely","","60","Very little experience","No experience","Some experience","I have used it once","Never heard of it","17","30"
"151","Sep 9, 2019 5:39:09 am","Sep 9, 2019 5:47:58 am","Complete","","English","11","73","Option 1","303","50","Likely","Very likely","Likely","","35","Some experience","Some experience","Very little experience","I have used it once","Never heard of it","18","56"
"152","Sep 9, 2019 5:39:04 am","Sep 9, 2019 5:49:00 am","Complete","","English","15","8","Option 2","448","29","Likely","Likely","Very likely","","71","Very little experience","No experience","No experience","Heard of it","Never heard of it","17","25"
"154","Sep 9, 2019 5:39:08 am","Sep 9, 2019 5:41:57 am","Complete","","English","12","10","Option 2","57","16","Likely","Unlikely","Very likely","","45","Very little experience","No experience","Some experience","Never heard of it","Never heard of it","18","29"
"155","Sep 9, 2019 5:39:11 am","Sep 9, 2019 5:45:30 am","Complete","","English","10","60","Option 2","211","22","Likely","Very likely","Likely","","39","Some experience","Some experience","No experience","I have used it once","Heard of it","18","37"
"156","Sep 9, 2019 5:39:03 am","Sep 9, 2019 5:47:18 am","Complete","","English","18","12","Option 2","198","52","Unlikely","Likely","Likely","sounds extremely unreliable","126","Very little experience","No experience","Very little experience","I have used it once","Never heard of it","18","88"
"157","Sep 9, 2019 5:39:14 am","Sep 9, 2019 5:44:56 am","Complete","","English","6","8","Option 3","53","11","Neutral","Unlikely","Very likely","","56","Very little experience","No experience","No experience","I have used it more than once","Never heard of it","18","30"
"160","Sep 9, 2019 5:39:03 am","Sep 9, 2019 5:45:16 am","Complete","","English","18","54","Option 2","140","23","Likely","Neutral","Neutral","It seems to be a very good alternative to using batteries and a step towards helping reduce global warming","102","A lot of experience","A lot of experience","Some experience","Never heard of it","Never heard of it","17","35"
